	origin	familyOrigin	homologueTaxon	symbol	aliases	diseases	diseaseCategories	name	ncbiId	commentCause	uniprot	functionalClusters	expressionChange	ensembl	methylationCorrelation
70		{'id': 12, 'phylum': 'Deuterostomia', 'age': '650–700', 'order': 7}	Euteleostomi	MDM2	['ACTFS', 'HDMX', 'LSKB', 'hdm2']	{'233': {'icdCode': '', 'icdName': '', 'name': 'Accelerated tumor formation, susceptibility to'}}	[]	MDM2 proto-oncogene, E3 ubiquitin protein ligase	4193	{'4': 'Association of the gene with accelerated aging in humans', '8': 'Age-related changes in gene expression/protein activity in mammals', '10': 'Gene regulates aging-related genes', '17': 'Modulation of gene activity enhances age-related deterioration'}	MDM2_HUMAN	[{'id': 19, 'name': 'senescence'}, {'id': 21, 'name': 'insulin sensitivity'}, {'id': 4, 'name': 'stress response'}, {'id': 52, 'name': 'adipose tissue'}, {'id': 53, 'name': 'carcinogenesis'}, {'id': 56, 'name': 'apoptosis'}, {'id': 5, 'name': 'cell cycle'}, {'id': 8, 'name': 'glucose metabolism'}]	1	ENSG00000135679	
71		{'id': 12, 'phylum': 'Deuterostomia', 'age': '650–700', 'order': 7}		NLRP3	['AGTAVPRL', 'AII', 'AVP', 'C1orf7', 'CIAS1', 'CLR1.1', 'DFNA34', 'FCAS', 'FCAS1', 'FCU', 'KEFH', 'MWS', 'NALP3', 'PYPAF1']	{'110': {'icdCode': 'L50.2', 'icdName': 'Urticaria due to cold and heat', 'name': 'Familial cold autoinflammatory syndrome'}, '328': {'icdCode': 'E85.0', 'icdName': 'Non-neuropathic heredofamilial amyloidosis', 'name': 'Muckle-wells syndrome'}, '329': {'icdCode': 'E85.0', 'icdName': 'Non-neuropathic heredofamilial amyloidosis', 'name': 'Cinca syndrome'}}	{'757': {'icdCode': 'E70-E90', 'icdCategoryName': 'Metabolic disorders'}, '786': {'icdCode': 'L50-L54', 'icdCategoryName': 'Urticaria and erythema'}}	NLR family pyrin domain containing 3	114548	{'6': 'Gene activity modulation increases mammalian lifespan', '8': 'Age-related changes in gene expression/protein activity in mammals', '13': 'Modulation of gene activity protects against age-related impairment'}	NLRP3_HUMAN	[{'id': 10, 'name': 'immune function'}, {'id': 26, 'name': 'inflammation'}, {'id': 27, 'name': 'signaling'}, {'id': 5, 'name': 'cell cycle'}]	2	ENSG00000162711	
72	{'id': 23, 'phylum': 'Primatibus', 'age': '', 'order': 23}	{'id': 12, 'phylum': 'Deuterostomia', 'age': '650–700', 'order': 7}		TARDBP	['ALS10', 'TDP-43']	{'125': {'icdCode': 'G12.2', 'icdName': 'Motor neuron disease', 'name': 'Amyotrophic lateral sclerosis'}}	{'660': {'icdCode': 'G10-G14', 'icdCategoryName': 'Systemic atrophies primarily affecting the central nervous system'}}	TAR DNA binding protein	23435	{'5': 'Gene activity modulation increases non-mammalian lifespan', '8': 'Age-related changes in gene expression/protein activity in mammals', '16': 'Gene activity modulation decreases non-mammalian lifespan'}		[{'id': 14, 'name': 'transport'}, {'id': 20, 'name': 'nucleus structure'}, {'id': 31, 'name': 'nervous system'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 56, 'name': 'apoptosis'}, {'id': 5, 'name': 'cell cycle'}, {'id': 61, 'name': 'protein modification'}]	0	ENSG00000120948	
73		{'id': 11, 'phylum': 'Bilateria', 'age': '700–800', 'order': 6}		B3GAT1	['CD57', 'GLCATP', 'GLCUATP', 'HNK1', 'LEU7', 'NK-1', 'NK1']	[]	[]	beta-1,3-glucuronyltransferase 1	27087	{'9': 'Age-related changes in gene expression/protein activity in humans'}		[{'id': 35, 'name': 'bone health'}, {'id': 4, 'name': 'stress response'}, {'id': 61, 'name': 'protein modification'}]	2	ENSG00000109956	
74		{'id': 11, 'phylum': 'Bilateria', 'age': '700–800', 'order': 6}		NIPSNAP1	[]	[]	[]	nipsnap homolog 1	8508	{'8': 'Age-related changes in gene expression/protein activity in mammals', '10': 'Gene regulates aging-related genes', '14': 'Other evidence', '17': 'Modulation of gene activity enhances age-related deterioration'}		[{'id': 11, 'name': 'mitochondrial function'}, {'id': 31, 'name': 'nervous system'}, {'id': 32, 'name': 'autophagy'}]	1	ENSG00000184117	
75		{'id': 11, 'phylum': 'Bilateria', 'age': '700–800', 'order': 6}		ZFAND2A	['AIRAP']	[]	[]	zinc finger AN1-type containing 2A	90637	{'16': 'Gene activity modulation decreases non-mammalian lifespan', '17': 'Modulation of gene activity enhances age-related deterioration'}		[{'id': 4, 'name': 'stress response'}]	0	ENSG00000178381	
76		{'id': 11, 'phylum': 'Bilateria', 'age': '700–800', 'order': 6}		ELMO1	['CED-12', 'CED12', 'ELMO-1']	[]	[]	engulfment and cell motility 1	9844	{'9': 'Age-related changes in gene expression/protein activity in humans'}		[{'id': 12, 'name': 'cytoskeleton organization'}, {'id': 56, 'name': 'apoptosis'}, {'id': 5, 'name': 'cell cycle'}]	1	ENSG00000155849	
77	{'id': 9, 'phylum': 'Vertebrata', 'age': '490', 'order': 10}	{'id': 11, 'phylum': 'Bilateria', 'age': '700–800', 'order': 6}		ADAMTS20	['ADAM-TS20', 'ADAMTS-20', 'GON-1']	[]	[]	ADAM metallopeptidase with thrombospondin type 1 motif 20	80070	{'5': 'Gene activity modulation increases non-mammalian lifespan', '10': 'Gene regulates aging-related genes'}		[{'id': 17, 'name': 'intercellular matrix'}, {'id': 27, 'name': 'signaling'}, {'id': 53, 'name': 'carcinogenesis'}, {'id': 5, 'name': 'cell cycle'}, {'id': 7, 'name': 'cell differentiation'}]	0	ENSG00000173157	
78		{'id': 11, 'phylum': 'Bilateria', 'age': '700–800', 'order': 6}		CUEDC2	['C10orf66', 'bA18I14.5']	[]	[]	CUE domain containing 2	79004	{'10': 'Gene regulates aging-related genes', '13': 'Modulation of gene activity protects against age-related impairment'}		[{'id': 10, 'name': 'immune function'}, {'id': 26, 'name': 'inflammation'}]	0	ENSG00000107874	
79		{'id': 11, 'phylum': 'Bilateria', 'age': '700–800', 'order': 6}		ANK2	['ANK-2', 'CFAP87', 'FAP87', 'LQT4', 'brank-2']	{'39': {'icdCode': 'I47.2', 'icdName': 'Ventricular tachycardia', 'name': 'Ventricular tachycardia, catecholaminergic polymorphic'}, '335': {'icdCode': 'I45.8', 'icdName': 'Other specified conduction disorders', 'name': 'Long qt syndrome'}, '336': {'icdCode': 'I30-I52', 'icdName': 'Other forms of heart disease', 'name': 'Cardiac arrhythmia'}}	{'336': {'icdCode': 'I30-I52', 'icdCategoryName': 'Other forms of heart disease'}, '771': {'icdCode': 'I30-I52', 'icdCategoryName': 'Other forms of heart disease'}}	ankyrin 2	287	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '14': 'Other evidence'}		[{'id': 13, 'name': 'proteostasis'}, {'id': 14, 'name': 'transport'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 9, 'name': 'calcium homeostasis'}]	0	ENSG00000145362	
80		{'id': 3, 'phylum': 'Eumetazoa', 'age': '800', 'order': 5}	Bilateria	LMNA	['CDCD1', 'CDDC', 'CMD1A', 'CMT2B1', 'EMD2', 'FPL', 'FPLD', 'FPLD2', 'HGPS', 'IDC', 'LDP1', 'LFP', 'LGMD1B', 'LMN1', 'LMNC', 'LMNL1', 'MADA', 'PRO1']	{'33': {'icdCode': 'I42.0', 'icdName': 'Dilated cardiomyopathy', 'name': 'Dilated cardiomyopathy'}, '34': {'icdCode': 'G60.0', 'icdName': 'Hereditary motor and sensory neuropathy', 'name': 'Charcot-marie-tooth disease'}, '35': {'icdCode': 'G71.0', 'icdName': 'Muscular dystrophy', 'name': 'Muscular dystrophy, limb-girdle, autosomal dominant'}, '36': {'icdCode': 'I42.0', 'icdName': 'Dilated cardiomyopathy', 'name': 'Cardiomyopathy, dilated, with hypergonadotropic hypogonadism'}, '37': {'icdCode': 'Q87.5', 'icdName': 'Other congenital malformation syndromes with other skeletal changes', 'name': 'Mandibuloacral dysplasia with lipodystrophy'}, '38': {'icdCode': 'Q87.2', 'icdName': 'Congenital malformation syndromes predominantly involving limbs', 'name': 'Heart-hand syndrome, slovenian type'}, '39': {'icdCode': 'I47.2', 'icdName': 'Ventricular tachycardia', 'name': 'Ventricular tachycardia, catecholaminergic polymorphic'}, '40': {'icdCode': 'E34.8', 'icdName': 'Other specified endocrine disorders', 'name': 'Progeria'}, '41': {'icdCode': 'G71.2', 'icdName': 'Congenital myopathies', 'name': 'Muscular dystrophy, congenital, lmna-related'}, '42': {'icdCode': 'Q82.8', 'icdName': 'Other specified congenital malformations of skin', 'name': 'Restrictive dermopathy, lethal'}, '43': {'icdCode': 'E88.1', 'icdName': 'Lipodystrophy, not elsewhere classified', 'name': 'Lipodystrophy, familial partial'}, '44': {'icdCode': 'G71.0', 'icdName': 'Muscular dystrophy', 'name': 'Emery-dreifuss muscular dystrophy'}}	{'143': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '336': {'icdCode': 'I30-I52', 'icdCategoryName': 'Other forms of heart disease'}, '686': {'icdCode': 'E20-E35', 'icdCategoryName': 'Disorders of other endocrine glands'}, '757': {'icdCode': 'E70-E90', 'icdCategoryName': 'Metabolic disorders'}, '764': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '771': {'icdCode': 'I30-I52', 'icdCategoryName': 'Other forms of heart disease'}, '772': {'icdCode': 'G60-G64', 'icdCategoryName': 'Polyneuropathies and other disorders of the peripheral nervous system'}, '773': {'icdCode': 'G70-G73', 'icdCategoryName': 'Diseases of myoneural junction and muscle'}}	lamin A/C	4000	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '4': 'Association of the gene with accelerated aging in humans', '10': 'Gene regulates aging-related genes', '14': 'Other evidence', '15': 'Gene activity modulation decreases mammalian lifespan'}	LMNA_HUMAN	[{'id': 12, 'name': 'cytoskeleton organization'}, {'id': 16, 'name': 'building and protection of telomeres'}, {'id': 17, 'name': 'intercellular matrix'}, {'id': 19, 'name': 'senescence'}, {'id': 20, 'name': 'nucleus structure'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 34, 'name': 'skin health'}, {'id': 35, 'name': 'bone health'}, {'id': 36, 'name': 'muscle health'}]	0	ENSG00000160789	
81		{'id': 3, 'phylum': 'Eumetazoa', 'age': '800', 'order': 5}	Bilateria	IGF1R	['CD221', 'IGFIR', 'IGFR', 'JTK13']	{'45': {'icdCode': 'E34.3', 'icdName': 'Short stature, not elsewhere classified', 'name': 'Insulin-like growth factor i, resistance to'}}	{'686': {'icdCode': 'E20-E35', 'icdCategoryName': 'Disorders of other endocrine glands'}}	insulin-like growth factor 1 receptor	3480	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '5': 'Gene activity modulation increases non-mammalian lifespan', '6': 'Gene activity modulation increases mammalian lifespan', '8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans', '13': 'Modulation of gene activity protects against age-related impairment'}	IGF1R_HUMAN	[{'id': 10, 'name': 'immune function'}, {'id': 13, 'name': 'proteostasis'}, {'id': 27, 'name': 'signaling'}, {'id': 31, 'name': 'nervous system'}, {'id': 56, 'name': 'apoptosis'}, {'id': 5, 'name': 'cell cycle'}, {'id': 61, 'name': 'protein modification'}, {'id': 6, 'name': 'embryonic development'}, {'id': 8, 'name': 'glucose metabolism'}]	1	ENSG00000140443	
82		{'id': 3, 'phylum': 'Eumetazoa', 'age': '800', 'order': 5}	Euteleostomi	KL	['HFTC3']	{'46': {'icdCode': 'M11.2', 'icdName': 'Other chondrocalcinosis', 'name': 'Tumoral calcinosis, hyperphosphatemic, familial'}}	{'831': {'icdCode': 'M00-M25', 'icdCategoryName': 'Arthropathies'}}	klotho	9365	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '6': 'Gene activity modulation increases mammalian lifespan', '8': 'Age-related changes in gene expression/protein activity in mammals', '13': 'Modulation of gene activity protects against age-related impairment'}	KLOT_HUMAN	[{'id': 27, 'name': 'signaling'}, {'id': 35, 'name': 'bone health'}, {'id': 8, 'name': 'glucose metabolism'}, {'id': 9, 'name': 'calcium homeostasis'}]	1	ENSG00000133116	
83		{'id': 3, 'phylum': 'Eumetazoa', 'age': '800', 'order': 5}	Euteleostomi	IGF1	['IGF', 'IGF-I', 'IGFI', 'MGF']	{'61': {'icdCode': 'E34.3', 'icdName': 'Short stature, not elsewhere classified', 'name': 'Insulin-like growth factor i deficiency'}}	{'686': {'icdCode': 'E20-E35', 'icdCategoryName': 'Disorders of other endocrine glands'}}	insulin-like growth factor 1	3479	{'9': 'Age-related changes in gene expression/protein activity in humans', '10': 'Gene regulates aging-related genes'}	IGF1B_HUMAN	[{'id': 13, 'name': 'proteostasis'}, {'id': 26, 'name': 'inflammation'}, {'id': 27, 'name': 'signaling'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 31, 'name': 'nervous system'}, {'id': 35, 'name': 'bone health'}, {'id': 36, 'name': 'muscle health'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 55, 'name': 'tissue regeneration'}, {'id': 56, 'name': 'apoptosis'}, {'id': 5, 'name': 'cell cycle'}, {'id': 6, 'name': 'embryonic development'}, {'id': 7, 'name': 'cell differentiation'}, {'id': 8, 'name': 'glucose metabolism'}]	1	ENSG00000017427	
84		{'id': 3, 'phylum': 'Eumetazoa', 'age': '800', 'order': 5}	Euteleostomi	IGF2	['C11orf43', 'GRDF', 'IGF-II', 'PP9974', 'SRS3']	{'62': {'icdCode': 'Q87.1', 'icdName': 'Congenital malformation syndromes predominantly associated with short stature', 'name': 'Growth restriction, severe, with distinctive facies'}}	{'143': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '764': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}}	insulin-like growth factor 2	3481	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '8': 'Age-related changes in gene expression/protein activity in mammals'}	IGF2_HUMAN	[{'id': 14, 'name': 'transport'}, {'id': 27, 'name': 'signaling'}, {'id': 55, 'name': 'tissue regeneration'}, {'id': 56, 'name': 'apoptosis'}, {'id': 59, 'name': 'reproductive function'}, {'id': 5, 'name': 'cell cycle'}, {'id': 6, 'name': 'embryonic development'}, {'id': 7, 'name': 'cell differentiation'}, {'id': 8, 'name': 'glucose metabolism'}]	2	ENSG00000167244	
85		{'id': 3, 'phylum': 'Eumetazoa', 'age': '800', 'order': 5}	Euteleostomi	INS	['IDDM', 'IDDM1', 'IDDM2', 'ILPR', 'IRDN', 'MODY10', 'PNDM4']	{'63': {'icdCode': 'P70.2', 'icdName': 'Neonatal diabetes mellitus', 'name': 'Diabetes mellitus, permanent neonatal'}, '64': {'icdCode': 'E10', 'icdName': 'Type 1 diabetes mellitus', 'name': 'Diabetes mellitus, insulin-dependent, 2'}, '65': {'icdCode': 'E13', 'icdName': 'Other specified diabetes mellitus', 'name': 'Maturity-onset diabetes of the young, type 10'}, '66': {'icdCode': '', 'icdName': '', 'name': 'Hyperproinsulinemia'}}	{'131': {'icdCode': 'E10-E14', 'icdCategoryName': 'Diabetes mellitus'}, '625': {'icdCode': 'E10-E14', 'icdCategoryName': 'Diabetes mellitus'}, '778': {'icdCode': 'P70-P74', 'icdCategoryName': 'Transitory endocrine and metabolic disorders specific to fetus and newborn'}}	insulin	3630	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '5': 'Gene activity modulation increases non-mammalian lifespan'}	INS_HUMAN	[{'id': 13, 'name': 'proteostasis'}, {'id': 22, 'name': 'lipid metabolism'}, {'id': 27, 'name': 'signaling'}, {'id': 29, 'name': 'endocrine system'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 31, 'name': 'nervous system'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 55, 'name': 'tissue regeneration'}, {'id': 58, 'name': 'cognitive function'}, {'id': 5, 'name': 'cell cycle'}, {'id': 61, 'name': 'protein modification'}, {'id': 8, 'name': 'glucose metabolism'}]	0	ENSG00000254647	
86		{'id': 3, 'phylum': 'Eumetazoa', 'age': '800', 'order': 5}	Euteleostomi	IRS1	['HIRS-1']	{'68': {'icdCode': 'E11', 'icdName': 'Type 2 diabetes mellitus', 'name': 'Diabetes mellitus, noninsulin-dependent'}}	{'131': {'icdCode': 'E10-E14', 'icdCategoryName': 'Diabetes mellitus'}, '625': {'icdCode': 'E10-E14', 'icdCategoryName': 'Diabetes mellitus'}}	insulin receptor substrate 1	3667	{'6': 'Gene activity modulation increases mammalian lifespan', '8': 'Age-related changes in gene expression/protein activity in mammals', '13': 'Modulation of gene activity protects against age-related impairment'}	IRS1_HUMAN	[{'id': 22, 'name': 'lipid metabolism'}, {'id': 27, 'name': 'signaling'}, {'id': 5, 'name': 'cell cycle'}, {'id': 8, 'name': 'glucose metabolism'}]	1	ENSG00000169047	
87		{'id': 3, 'phylum': 'Eumetazoa', 'age': '800', 'order': 5}	Euteleostomi	IRS2	['IRS-2']	{'68': {'icdCode': 'E11', 'icdName': 'Type 2 diabetes mellitus', 'name': 'Diabetes mellitus, noninsulin-dependent'}}	{'131': {'icdCode': 'E10-E14', 'icdCategoryName': 'Diabetes mellitus'}, '625': {'icdCode': 'E10-E14', 'icdCategoryName': 'Diabetes mellitus'}}	insulin receptor substrate 2	8660	{'6': 'Gene activity modulation increases mammalian lifespan', '13': 'Modulation of gene activity protects against age-related impairment'}	IRS2_HUMAN	[{'id': 21, 'name': 'insulin sensitivity'}, {'id': 22, 'name': 'lipid metabolism'}, {'id': 27, 'name': 'signaling'}, {'id': 31, 'name': 'nervous system'}, {'id': 5, 'name': 'cell cycle'}, {'id': 6, 'name': 'embryonic development'}, {'id': 8, 'name': 'glucose metabolism'}]	0	ENSG00000185950	
88		{'id': 3, 'phylum': 'Eumetazoa', 'age': '800', 'order': 5}	Euteleostomi	EGFR	['ERBB', 'ERBB1', 'ERRP', 'HER1', 'NISBD2', 'PIG61', 'mENA']	{'80': {'icdCode': 'C44.4', 'icdName': 'Malignant neoplasm: Skin of scalp and neck', 'name': 'Squamous cell carcinoma, head and neck'}, '81': {'icdCode': 'C34', 'icdName': 'Malignant neoplasm of bronchus and lung', 'name': 'Lung cancer'}, '82': {'icdCode': 'P00-P96', 'icdName': '', 'name': 'Neonatal inflammatory skin and bowel disease'}}	{'758': {'icdCode': 'C00-C97', 'icdCategoryName': 'Malignant neoplasms'}}	epidermal growth factor receptor	1956	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans', '10': 'Gene regulates aging-related genes', '17': 'Modulation of gene activity enhances age-related deterioration'}	EGFR_HUMAN	[{'id': 31, 'name': 'nervous system'}, {'id': 33, 'name': 'hemopoiesis'}, {'id': 34, 'name': 'skin health'}, {'id': 35, 'name': 'bone health'}]	1	ENSG00000146648	
89		{'id': 3, 'phylum': 'Eumetazoa', 'age': '800', 'order': 5}	Euteleostomi	INSR	['CD220', 'HHF5']	{'68': {'icdCode': 'E11', 'icdName': 'Type 2 diabetes mellitus', 'name': 'Diabetes mellitus, noninsulin-dependent'}, '84': {'icdCode': 'E34.8', 'icdName': 'Other specified endocrine disorders', 'name': 'Donohue syndrome'}, '85': {'icdCode': 'E13', 'icdName': 'Other specified diabetes mellitus', 'name': 'Pineal hyperplasia, insulin-resistant diabetes mellitus, and somatic abnormalities'}, '86': {'icdCode': 'E13', 'icdName': 'Other specified diabetes mellitus', 'name': 'Diabetes mellitus, insulin-resistant, with acanthosis nigricans'}, '87': {'icdCode': 'E16.1', 'icdName': 'Other hypoglycaemia', 'name': 'Hyperinsulinemia hypoglycemia'}}	{'131': {'icdCode': 'E10-E14', 'icdCategoryName': 'Diabetes mellitus'}, '625': {'icdCode': 'E10-E14', 'icdCategoryName': 'Diabetes mellitus'}, '686': {'icdCode': 'E20-E35', 'icdCategoryName': 'Disorders of other endocrine glands'}, '781': {'icdCode': 'E15-E16', 'icdCategoryName': 'Other disorders of glucose regulation and pancreatic internal secretion'}}	insulin receptor	3643	{'5': 'Gene activity modulation increases non-mammalian lifespan', '6': 'Gene activity modulation increases mammalian lifespan', '8': 'Age-related changes in gene expression/protein activity in mammals', '13': 'Modulation of gene activity protects against age-related impairment'}	INSR_HUMAN	[{'id': 14, 'name': 'transport'}, {'id': 27, 'name': 'signaling'}, {'id': 29, 'name': 'endocrine system'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 31, 'name': 'nervous system'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 58, 'name': 'cognitive function'}, {'id': 5, 'name': 'cell cycle'}, {'id': 61, 'name': 'protein modification'}, {'id': 6, 'name': 'embryonic development'}, {'id': 8, 'name': 'glucose metabolism'}]	1	ENSG00000171105	
90		{'id': 3, 'phylum': 'Eumetazoa', 'age': '800', 'order': 5}	Euteleostomi	EPOR	['EPO-R']	{'101': {'icdCode': 'C94.0', 'icdName': 'Acute erythroid leukaemia', 'name': 'Erythroleukemia, familial'}, '102': {'icdCode': 'D75.0', 'icdName': 'Familial erythrocytosis', 'name': 'Erythrocytosis, familial'}}	{'724': {'icdCode': 'D70-D77', 'icdCategoryName': 'Other diseases of blood and blood-forming organs'}, '758': {'icdCode': 'C00-C97', 'icdCategoryName': 'Malignant neoplasms'}}	Erythropoietin receptor	2057	{'8': 'Age-related changes in gene expression/protein activity in mammals', '14': 'Other evidence'}	EPOR_HUMAN	[{'id': 27, 'name': 'signaling'}, {'id': 6, 'name': 'embryonic development'}]	1	ENSG00000187266	
91	{'id': 24, 'phylum': '', 'age': '', 'order': 24}	{'id': 3, 'phylum': 'Eumetazoa', 'age': '800', 'order': 5}	Euteleostomi	RET	['CDHF12', 'CDHR16', 'HSCR1', 'MEN2A', 'MEN2B', 'MTC1', 'PTC', 'RET-ELE1']	{'24': {'icdCode': 'Q43.1', 'icdName': 'Hirschsprung disease', 'name': 'Hirschsprung disease'}, '104': {'icdCode': 'C74.1', 'icdName': 'Malignant neoplasm: Medulla of adrenal gland', 'name': 'Pheochromocytoma'}, '105': {'icdCode': 'G47.3', 'icdName': 'Sleep apnoea', 'name': 'Central hypoventilation syndrome, congenital'}, '106': {'icdCode': 'D44.8', 'icdName': 'Neoplasm of uncertain or unknown behaviour: Pluriglandular involvement', 'name': 'Multiple endocrine neoplasia'}, '107': {'icdCode': 'Q60.1', 'icdName': 'Renal agenesis, bilateral', 'name': 'Renal hypodysplasia/aplasia 1'}, '108': {'icdCode': 'D44.8', 'icdName': 'Neoplasm of uncertain or unknown behaviour: Pluriglandular involvement', 'name': 'Thyroid carcinoma, familial medullary'}}	{'685': {'icdCode': 'D37-D48', 'icdCategoryName': 'Neoplasms of uncertain or unknown behaviour'}, '758': {'icdCode': 'C00-C97', 'icdCategoryName': 'Malignant neoplasms'}, '768': {'icdCode': 'Q38-Q45', 'icdCategoryName': 'Other congenital malformations of the digestive system'}, '784': {'icdCode': 'G40-G47', 'icdCategoryName': 'Episodic and paroxysmal disorders'}, '785': {'icdCode': 'Q60-Q64', 'icdCategoryName': 'Congenital malformations of the urinary system'}}	ret proto-oncogene	5979	{'8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans', '14': 'Other evidence', '17': 'Modulation of gene activity enhances age-related deterioration'}	RET_HUMAN	[{'id': 27, 'name': 'signaling'}, {'id': 31, 'name': 'nervous system'}, {'id': 37, 'name': 'proteolysis'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 56, 'name': 'apoptosis'}, {'id': 6, 'name': 'embryonic development'}]	3	ENSG00000165731	
92		{'id': 3, 'phylum': 'Eumetazoa', 'age': '800', 'order': 5}	Euteleostomi	IGFBP3	['BP-53', 'IBP3']	[]	[]	insulin-like growth factor binding protein 3	3486	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans'}	IBP3_HUMAN	[{'id': 13, 'name': 'proteostasis'}, {'id': 27, 'name': 'signaling'}, {'id': 36, 'name': 'muscle health'}, {'id': 56, 'name': 'apoptosis'}, {'id': 5, 'name': 'cell cycle'}, {'id': 61, 'name': 'protein modification'}, {'id': 7, 'name': 'cell differentiation'}, {'id': 8, 'name': 'glucose metabolism'}]	1	ENSG00000146674	
93	{'id': 9, 'phylum': 'Vertebrata', 'age': '490', 'order': 10}	{'id': 3, 'phylum': 'Eumetazoa', 'age': '800', 'order': 5}	Euteleostomi	VEGFA	['MVCD1', 'VEGF', 'VPF']	{'131': {'icdCode': 'E10-E14', 'icdName': 'Diabetes mellitus', 'name': 'Microvascular complications of diabetes'}}	{'131': {'icdCode': 'E10-E14', 'icdCategoryName': 'Diabetes mellitus'}, '625': {'icdCode': 'E10-E14', 'icdCategoryName': 'Diabetes mellitus'}}	vascular endothelial growth factor A	7422	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '6': 'Gene activity modulation increases mammalian lifespan', '8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans', '10': 'Gene regulates aging-related genes', '13': 'Modulation of gene activity protects against age-related impairment', '14': 'Other evidence', '17': 'Modulation of gene activity enhances age-related deterioration'}	VEGFA_HUMAN	[{'id': 19, 'name': 'senescence'}, {'id': 26, 'name': 'inflammation'}, {'id': 27, 'name': 'signaling'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 31, 'name': 'nervous system'}, {'id': 35, 'name': 'bone health'}, {'id': 36, 'name': 'muscle health'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 53, 'name': 'carcinogenesis'}, {'id': 55, 'name': 'tissue regeneration'}, {'id': 56, 'name': 'apoptosis'}, {'id': 59, 'name': 'reproductive function'}, {'id': 5, 'name': 'cell cycle'}, {'id': 61, 'name': 'protein modification'}, {'id': 64, 'name': 'angiogenesis'}, {'id': 6, 'name': 'embryonic development'}, {'id': 7, 'name': 'cell differentiation'}]	1	ENSG00000112715	
